date_,CBIC1_GDP
1988-01-01,0.00364867
1988-04-01,0.00494843
1988-07-01,0.00404586
1988-10-01,0.00544164
1989-01-01,0.0105325
1989-04-01,0.00792157
1989-07-01,0.0021572
1989-10-01,0.00310231
1990-01-01,0.0027845
1990-04-01,0.0068767
1990-07-01,0.00446123
1990-10-01,-0.00209867
1991-01-01,-0.00329867
1991-04-01,-0.00385685
1991-07-01,0.000160813
1991-10-01,0.00554441
1992-01-01,0.000412958
1992-04-01,0.00389939
1992-07-01,0.00352521
1992-10-01,0.00397698
1993-01-01,0.00681354
1993-04-01,0.00454259
1993-07-01,0.000297644
1993-10-01,0.00245292
1994-01-01,0.00766003
1994-04-01,0.0135744
1994-07-01,0.0083807
1994-10-01,0.0115811
1995-01-01,0.00959697
1995-04-01,0.00543319
1995-07-01,0.00121949
1995-10-01,0.00193769
1996-01-01,0.000257945
1996-04-01,0.00367783
1996-07-01,0.00802582
1996-10-01,0.00460572
1997-01-01,0.00611826
1997-04-01,0.0131999
1997-07-01,0.00930652
1997-10-01,0.0107008
1998-01-01,0.0143862
1998-04-01,0.005519
1998-07-01,0.00736531
1998-10-01,0.00761942
1999-01-01,0.0103221
1999-04-01,0.00473705
1999-07-01,0.00530287
1999-10-01,0.010831
2000-01-01,0.0023543
2000-04-01,0.010577
2000-07-01,0.00663333
2000-10-01,0.00609866
2001-01-01,-0.00360598
2001-04-01,-0.00120356
2001-07-01,-0.00346764
2001-10-01,-0.00910104
2002-01-01,-0.00035498
2002-04-01,0.00242135
2002-07-01,0.00293755
2002-10-01,0.00316108
2003-01-01,0.00323541
2003-04-01,-1.74132e-05
2003-07-01,0.000651693
2003-10-01,0.0039399
2004-01-01,0.00470446
2004-04-01,0.00672189
2004-07-01,0.00574731
2004-10-01,0.00606805
2005-01-01,0.00868602
2005-04-01,0.00254569
2005-07-01,0.00137807
2005-10-01,0.00708279
2006-01-01,0.00575988
2006-04-01,0.00611886
2006-07-01,0.00589201
2006-10-01,0.00294482
2007-01-01,0.00137798
2007-04-01,0.0034274
2007-07-01,0.0034442
2007-10-01,0.0015632
2008-01-01,-0.00137806
2008-04-01,-0.00178242
2008-07-01,-0.00139554
2008-10-01,-0.00462917
2009-01-01,-0.0100442
2009-04-01,-0.0132574
2009-07-01,-0.014329
2009-10-01,-0.00340329
2010-01-01,0.000670454
2010-04-01,0.00327485
2010-07-01,0.00771871
2010-10-01,0.00381308
2011-01-01,0.00164492
2011-04-01,0.00372029
2011-07-01,-0.000835755
2011-10-01,0.0051197
2012-01-01,0.00350666
2012-04-01,0.00475434
2012-07-01,0.00434807
2012-10-01,0.000948992
2013-01-01,0.00301225
2013-04-01,0.00317911
2013-07-01,0.00650881
2013-10-01,0.0060938
2014-01-01,0.00227346
2014-04-01,0.00403541
2014-07-01,0.00485657
2014-10-01,0.00433612
2015-01-01,0.00739682
2015-04-01,0.00583418
2015-07-01,0.00527834
2015-10-01,0.00372982
2016-01-01,0.00221558
2016-04-01,0.000658216
2016-07-01,0.000939554
2016-10-01,0.00333548
2017-01-01,6.14975e-05
2017-04-01,0.00028561
2017-07-01,0.00197455
2017-10-01,0.000787634
2018-01-01,0.00101093
