date_,PRS88003111
1988-01-01,0.7
1988-04-01,2.0
1988-07-01,3.4
1988-10-01,2.0
1989-01-01,3.8
1989-04-01,4.1
1989-07-01,3.4
1989-10-01,4.8
1990-01-01,4.0
1990-04-01,3.6
1990-07-01,4.4
1990-10-01,3.2
1991-01-01,2.2
1991-04-01,2.3
1991-07-01,1.8
1991-10-01,2.5
1992-01-01,2.8
1992-04-01,2.7
1992-07-01,2.6
1992-10-01,2.0
1993-01-01,2.3
1993-04-01,1.4
1993-07-01,1.1
1993-10-01,0.4
1994-01-01,-0.4
1994-04-01,-0.3
1994-07-01,-0.8
1994-10-01,-0.5
1995-01-01,0.5
1995-04-01,0.6
1995-07-01,0.1
1995-10-01,0.4
1996-01-01,-0.4
1996-04-01,-0.2
1996-07-01,0.0
1996-10-01,-0.1
1997-01-01,0.6
1997-04-01,0.3
1997-07-01,0.2
1997-10-01,1.2
1998-01-01,2.0
1998-04-01,2.4
1998-07-01,2.8
1998-10-01,2.8
1999-01-01,1.7
1999-04-01,1.5
1999-07-01,2.1
1999-10-01,1.9
2000-01-01,3.0
2000-04-01,3.5
2000-07-01,4.0
2000-10-01,4.3
2001-01-01,3.9
2001-04-01,2.7
2001-07-01,1.3
2001-10-01,0.7
2002-01-01,-2.2
2002-04-01,-1.8
2002-07-01,-1.7
2002-10-01,-2.7
2003-01-01,-1.0
2003-04-01,-0.8
2003-07-01,-0.8
2003-10-01,0.0
2004-01-01,-0.6
2004-04-01,-0.2
2004-07-01,0.0
2004-10-01,0.7
2005-01-01,1.1
2005-04-01,0.5
2005-07-01,2.4
2005-10-01,-0.1
2006-01-01,1.0
2006-04-01,1.9
2006-07-01,-0.9
2006-10-01,1.9
2007-01-01,2.9
2007-04-01,2.3
2007-07-01,4.6
2007-10-01,3.6
2008-01-01,3.5
2008-04-01,3.2
2008-07-01,0.6
2008-10-01,2.9
2009-01-01,1.4
2009-04-01,1.9
2009-07-01,1.9
2009-10-01,-2.6
2010-01-01,-4.0
2010-04-01,-3.5
2010-07-01,-2.9
2010-10-01,0.4
2011-01-01,4.0
2011-04-01,2.1
2011-07-01,3.0
2011-10-01,0.5
2012-01-01,-0.2
2012-04-01,1.5
2012-07-01,2.3
2012-10-01,3.7
2013-01-01,1.5
2013-04-01,1.4
2013-07-01,0.8
2013-10-01,0.7
2014-01-01,3.3
2014-04-01,1.7
2014-07-01,0.2
2014-10-01,0.0
2015-01-01,-0.8
2015-04-01,1.6
2015-07-01,2.3
2015-10-01,3.3
2016-01-01,1.7
2016-04-01,2.0
2016-07-01,1.1
2016-10-01,0.1
2017-01-01,1.3
2017-04-01,-0.9
2017-07-01,0.8
2017-10-01,1.0
2018-01-01,0.9
