,Price,Allocation,Dollar Value,Shares
AGG,106.800003,-0.1835908746624213,-40389,-378
BNDX,54.650002,0.1999999889879678,43999,805
IBDH,25.110001,0.04419730337468764,9723,387
JNK,36.16,-0.023223555379794245,-5109,-141
MUB,108.470001,-0.027740000632875236,-6102,-56
TIP,113.110001,0.18391725784447793,40461,357
VCR,158.71000700000005,0.0333114328520431,7328,46
VCSH,78.269997,-0.19858646773356264,-43689,-558
VDC,136.119995,-0.013498584802019792,-2969,-21
VGT,173.220001,0.022965210074419606,5052,29
VNQ,74.660004,-0.02797481944901701,-6154,-82
VOX,85.690002,-0.02244357678355243,-4937,-57
